Letter,Overall Frequency
a,5310
b,1352
c,1765
d,2129
e,5718
f,836
g,1393
h,1571
i,3275
j,229
k,1154
l,2789
m,1766
n,2672
o,3805
p,1785
q,114
r,3654
s,2388
t,2796
u,2105
v,615
w,780
x,247
y,2101
z,411

Position 1,Frequency
a,678
b,706
c,718
d,495
e,252
f,451
g,478
h,347
i,141
j,137
k,263
l,421
m,667
n,320
o,258
p,825
q,79
r,581
s,1250
t,608
u,190
v,199
w,277
x,14
y,116
z,81

Position 2,Frequency
a,1840
b,85
c,162
d,83
e,1274
f,32
g,73
h,484
i,1070
j,11
k,76
l,576
m,160
n,317
o,1639
p,202
q,14
r,781
s,95
t,209
u,930
v,41
w,142
x,46
y,188
z,22

Position 3,Frequency
a,946
b,301
c,320
d,358
e,682
f,119
g,329
h,103
i,835
j,37
k,222
l,646
m,408
n,767
o,830
p,327
q,15
r,925
s,437
t,554
u,556
v,208
w,214
x,88
y,203
z,122

Position 4,Frequency
a,961
b,190
c,419
d,319
e,1771
f,139
g,342
h,209
i,847
j,41
k,283
l,607
m,304
n,650
o,572
p,266
q,1
r,630
s,570
t,630
u,333
v,162
w,79
x,15
y,67
z,145

Position 5,Frequency
a,885
b,70
c,146
d,874
e,1739
f,95
g,171
h,428
i,382
j,3
k,310
l,539
m,227
n,618
o,506
p,165
q,5
r,737
s,36
t,795
u,96
v,5
w,68
x,84
y,1527
z,41
